Latitude,Longitude,OSM Node,Distance (m),Duration (s)
38.85039,-77.30764,49596767,10.253040374883913,1.1
38.85,-77.30686,49596768,80.03852914100734,8.7
38.84994,-77.30676,49596769,11.074397805457046,1.2
38.84989,-77.3067,49596770,7.718243274265759,0.8
38.84983,-77.30665,49596771,8.14387971046509,0.9
38.84977,-77.30661,49596773,7.2288413013722055,0.8
38.84968,-77.30658,49596775,10.08812466579628,1.1
38.84957,-77.30655,49596777,12.507826152725093,1.4
38.84911,-77.30647,49596778,51.642961556544684,5.6
38.84899,-77.30644,49596779,13.727940009289798,1.5
38.84883,-77.3064,49596781,18.316859329232734,3.9
38.84813,-77.3063,49596783,78.1669375671067,16.6
38.84775,-77.30624,49596785,43.206534756588425,9.1
38.84757,-77.30623,1436413463,19.396946690961734,4.1
38.8475,-77.30623,5178426562,7.6751035619887125,1.6
38.84741,-77.30623,49596787,10.677724800476009,2.3
38.84734,-77.30624,49596789,7.965189127920837,1.7
38.84721,-77.30627,49596790,13.795665737343201,2.9
38.84712,-77.3063,49596791,11.09752412583662,2.4
38.84703,-77.30633,5037476419,9.5674799675601,1.1
38.84634,-77.30658,49596792,80.41648154567164,9.3
38.84627,-77.3066,1454754948,8.211971820805635,1
38.84625,-77.30651,5037476415,7.941081276814688,1.1
38.84622,-77.30641,5518084652,9.001633258322245,1.3
38.84609,-77.30579,1462513984,56.192072377440894,9.6
38.84608,-77.30576,5518084629,2.515682933225843,0.4
38.84603,-77.30554,1462514035,19.708189822673543,3.9
38.846,-77.30538,3992065788,14.427097061253397,2.9
38.84598,-77.3053,49598085,7.4635704193704235,1.5
38.84596,-77.30521,3992065787,8.055849678929025,1.5
38.84584,-77.30468,5518084613,48.09366287167776,9.1
38.84579,-77.30447,5518084607,18.34587641842732,4.1
38.84578,-77.30444,4818578232,3.409973706996505,0.9
38.84571,-77.30411,5037476397,29.612974415907217,4.8
38.84568,-77.304,1454754932,9.926423917103907,1.6
38.84563,-77.30389,1454754944,10.961659325518905,0.9
38.84553,-77.30347,49598079,37.970014223476824,3.1
38.84533,-77.30256,1454757823,82.44012067560385,6.7
38.84518,-77.30186,1673266771,62.224832198486695,5.1
38.84515,-77.30174,1454757822,10.873584469503474,0.9
38.84511,-77.30155,663491712,17.701440285597137,1.4
38.84493,-77.30071,1454757854,75.22099553277198,6.2
38.84484,-77.3003,663491713,36.59110071183771,3
38.84473,-77.29965,663491714,58.310177144708895,4.8
38.8447,-77.29941,663491715,20.937122751579196,1.7
38.84461,-77.29872,5518084183,60.05688996183585,4.2
38.84446,-77.29755,5518084199,102.84134972660895,8.2
38.84436,-77.29676,1456394015,69.3707701514555,8.3
38.84435,-77.29667,663491717,7.7208997690728856,0.9
38.84419,-77.29557,1456394021,97.37716120886395,6.7
38.84412,-77.29503,663491720,47.51770459324781,3.3
38.84406,-77.29448,1456393973,47.815789861568156,3.6
38.84398,-77.29386,663491723,54.544760287014235,4.1
38.84398,-77.29381,49598070,4.530083543692593,0.3
38.84396,-77.29375,663491727,5.509044110503804,0.5
38.84391,-77.29334,1456393986,35.33449984921737,3.3
38.84385,-77.29283,663491731,45.09296640915321,4.2
38.84383,-77.29271,663491738,10.90843576494161,1
38.84382,-77.29266,1456393977,3.8520564451542363,0.4
38.84386,-77.29266,1456393994,4.674716453945243,1.1
38.84392,-77.29267,49594999,5.78441633265729,1.3
38.84397,-77.29267,4760413531,5.672541299788567,0.9
38.84401,-77.29267,49594997,5.227636100151976,0.8
38.84481,-77.29273,5518084169,88.57754138690179,13.9
38.84513,-77.29275,49594995,36.21336436917857,4.7
38.84531,-77.29276,49594993,20.03946676368896,2.6
38.84558,-77.29278,49594992,29.960479079990424,4.1
38.84571,-77.29277,49594990,14.15784421800294,2
38.84584,-77.29274,49594989,14.222866882238247,2
38.84596,-77.2927,49594988,14.201882042815068,2
38.84607,-77.29264,49594986,12.819483287062138,1.8
38.84619,-77.29256,49594985,15.098401200143703,2.1
38.84632,-77.29246,49594982,17.03642733418645,2.4
38.84696,-77.29189,49594981,86.10587423160781,12.4
38.84715,-77.29173,49594980,25.69730638663233,3.7
38.84711,-77.29143,49599640,26.707339842588862,4.6
38.84695,-77.2902,49598458,107.95310244076333,18.5
38.84682,-77.28919,49599637,88.75247894123622,10.3
38.8468,-77.28899,49599635,16.82538575435813,2
38.8468,-77.28892,49599633,6.238058079669217,0.7
38.8468,-77.28886,49599631,5.561881860508843,0.6
38.84682,-77.28874,49599630,10.291889034397776,1.2
38.84685,-77.28867,49599628,6.388388810662479,0.7
38.8469,-77.28856,49598171,10.922558272305176,1.3
38.84734,-77.2889,49598170,57.02952602573856,15.8
38.84751,-77.28903,49598169,22.14197614861785,6.1
38.84757,-77.28914,49598168,12.100625352468288,3.4
